"PLT_CN","hostBA.MPB","hostBA.SB","hostBA.WBBB","hostBA.MPB.samp","hostBA.SB.samp","hostBA.WBBB.samp","hostBA.allBBs.samp","nplots","pressureMPB","pressureSB","pressureWBBB","pressureallBBs","hostBA.allBBs","Rpressure.MPB","Rpressure.SB","Rpressure.WBBB","Rpressure.allBBs"
14547091020004,0,0,0,0,0,68.0542321412011,68.0542321412011,6,0,0,2.57613409988294,2.57613409988294,0,0,0,0,0
14547279020004,0,0,0,0,0,34.9670192148291,34.9670192148291,7,0,0,3.09734386848275,3.09734386848275,0,0,0,0,0
14547841020004,0,0,0,0,138.026398681733,153.36203726861,291.388435950343,11,0,1.29582830571215,11.3185482335707,12.6143765392829,0,0,0,0,0
14548644020004,0,0,0,0,83.1507788391432,93.6427156571379,176.793494496281,9,0,0,0,0,0,0,0,0,0
14548657020004,0,0,0,0,8.40325479170895,104.446911153906,112.850165945615,7,0,0,3.28301119099684,3.28301119099684,0,0,0,0,0
14549194020004,0,3.75720131298594,9.8969574435745,0,188.488501310728,120.561387989772,309.0498893005,18,0,70.0268720909154,5.72667647879383,75.7535485697092,13.6541587565604,0,1.39586793854629,0.470106344566554,3.34687380372392
14549277020004,0,0,0,312.307356164252,218.172968721641,244.547976390338,775.028301276231,37,88.8749687020105,54.4460381032824,17.9670057011287,161.288012506422,0,0,0,0,0
14550088020004,0,3.75720131298594,9.8969574435745,0,10.736077290781,22.2788730697259,33.014950360507,6,0,0,0,0,13.6541587565604,0,0,0,0
14550197020004,0,0,2.84589425191234,0,1.19628831665326,13.0255723911333,14.2218607077865,8,0,0,0,0,2.84589425191234,0,0,0,0
37259363010690,0,166.968422858583,1.66527915079598,0,140.093303980662,0.41262753980809,140.50593152047,14,0,18.0096549318685,0,18.0096549318685,168.633702009379,0,21.4645782115073,0,21.6149934042464
37261819010690,0,65.7772454724791,0,0,141.288612721344,0,141.288612721344,14,0,15.4850615984627,0,15.4850615984627,65.7772454724791,0,7.20910679424253,0,7.20910679424253
37261822010690,0,61.5955863560346,0,0,154.51447072256,0,154.51447072256,15,0,5.62736254572827,0,5.62736254572827,61.5955863560346,0,2.24328953800385,0,2.24328953800385
37262457010690,0,85.8248705361317,1.21060519623024,0,373.063898025077,54.7637221258958,427.827620150973,15,0,59.4141460204897,6.42036697029736,65.834512990787,87.0354757323619,0,13.6684664938567,0.141928439379609,13.3931001363108
37262521010690,0,64.8685757313275,0,0,63.099009415613,0,63.099009415613,8,0,1.28866986592366,0,1.28866986592366,64.8685757313275,0,1.32480968504181,0,1.32480968504181
37262723010690,0,115.424717653545,0,0,86.2892648984103,0,86.2892648984103,11,0,2.70762333599783,0,2.70762333599783,115.424717653545,0,3.62184866724315,0,3.62184866724315
