"PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts"
2254520010690,-9999,"90299.AZ",2003,7930,35.866537,-109.227128,0,118.9671405464,0,371.7723142075,118.9671405464,0,26.0421234157278,0,26.0421234157278,34.6936479142796,0,6.33680160476646,0,35.1453020415614,6.33680160476646,19.8329472219957,0,8.22354445003521,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","absent","PIEN","absent","PIEN","1"
2254657010690,-9999,"90978.AZ",2003,8430,33.881999,-109.275201,0,14.8708925683,0,148.708925683,14.8708925683,0,46.99,0,46.99,31.3824169687422,0,2.57892212380056,0,11.5027085161294,2.57892212380056,4.89855802326226,0,2.67593010453781,0,0,1,0,1,0,2.57892212380056,0,2.57892212380056,"SB","absent","absent","SB","1","absent","PIEN","absent","PIEN","1"
2257007010690,-9999,"84543.AZ",2003,8710,36.392995,-112.205937,0,163.5798182513,118.9671405464,669.1901655735,282.5469587977,0,26.657792011138,22.9978731190517,25.1816913106161,26.714473395521,0,9.1299494582373,4.94188542198206,37.5087928037273,14.0718348802194,8.42269560713453,0,11.3240846964021,6.71445092931979,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","absent","PIEN","ABLA","PIEN & ABLA","2"
2258843010690,-9999,"91276.AZ",2003,8640,36.279866,-112.059245,0,89.2253554098,0,803.0281986882,89.2253554098,0,27.0534842364774,0,27.0534842364774,28.3860915329765,0,5.12890908045607,0,50.8197232104292,5.12890908045607,16.9307650277465,0,6.54961746633186,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","absent","PIEN","absent","PIEN","1"
2313924010690,-9999,"81136.MT",2003,6960,45.859132,-113.124541,14.8708925683,0,0,475.8685621856,14.8708925683,35.814,0,0,35.814,37.5247392362692,1.49807306773642,0,0,52.627492989015,1.49807306773642,0,1.73280854230838,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2313982010690,-9999,"81760.MT",2003,8610,45.581521,-113.242833,14.8708925683,44.6126777049,14.8708925683,817.8990912565,74.3544628415,21.082,23.9587219469932,19.05,22.491839835816,21.3735446722004,0.51909991266215,2.01129552457223,0.423854987476353,29.345609476925,2.95425042471074,26.3913590522143,0.74220683216744,2.6803772699599,0.631099769313487,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","ABLA","PICO, PIEN, & ABLA","3"
2314069010690,-9999,"81781.MT",2003,6350,45.756615,-113.640611,713.8028432784,0,0,713.8028432784,713.8028432784,21.6842660220877,0,0,21.6842660220877,21.6842660220877,26.3607661411182,0,0,26.3607661411182,26.3607661411182,0,36.6968779373017,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2314195010690,-9999,"82905.MT",2003,6770,45.76541,-112.930948,803.0281986882,0,0,1055.8333723493,803.0281986882,16.9556142302756,0,0,16.9556142302756,18.4392429544272,18.1321019282506,0,0,28.1949844709225,18.1321019282506,0.348427637705005,27.8877750384606,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","absent","absent","PICO","1"
2314403010690,-9999,"87191.MT",2003,8280,45.407463,-112.911227,237.9342810928,14.8708925683,0,446.126777049,252.8051736611,20.8249990216086,15.24,0,20.5385533427202,19.4083259865451,8.10433341654118,0.271267191984866,0,13.1985052260236,8.37560060852605,4.63452462306366,11.4742139804479,0.4416131536907,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
2314590010690,-9999,"89964.MT",2003,9350,45.722426,-113.119207,74.3544628415,44.6126777049,0,788.1573061199,118.9671405464,18.787416959231,18.2184882651296,0,18.5761107474089,16.4799276193684,2.06125389909611,1.16298273363734,0,16.8117842232621,3.22423663273345,13.5875475905286,3.07113842569912,1.74644522059012,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none","0","PICO","PIEN","absent","PICO & PIEN","2"
