"","PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER"
"4491",37274306010690,-9999,"84184.MT",2010,6820,48.233451,-113.429449,14.8708925683,59.4835702732,74.3544628415,178.4507108196,148.708925683,14.732,15.1949542612013,14.3504380420947,14.7317810328555,15.3089882966402,0.253484120510302,1.07866384812871,1.20261788446624,3.28474428694563,2.53476585310525,0,0.418297038374248,1.74716131232995,2.0032570700402,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4492",37274308010690,-9999,"90338.MT",2010,6830,48.091867,-113.821963,0,252.8051736611,297.417851366,550.2230250271,550.2230250271,0,19.2958396064449,23.4108921572844,21.6176839997608,21.6176839997608,0,7.39270914956755,12.8024551257257,20.1951642752933,20.1951642752933,0,0,10.5808796166691,17.108469128785,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4493",37274309010690,-9999,"83439.MT",2010,6980,48.092006,-113.617129,0,0,148.708925683,148.708925683,148.708925683,0,0,19.292967900248,19.292967900248,19.292967900248,0,0,4.34735815954857,4.34735815954857,4.34735815954857,0,0,0,6.28447710599054,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4494",37274310010690,-9999,"89822.MT",2010,4920,48.106257,-113.283007,342.0305290709,133.8380331147,401.5140993441,966.6080169395,877.3826615297,18.8818386586274,24.5775535714106,24.8249539240929,22.6528961294323,23.0982350294762,9.577314269019,6.34961144438797,19.4342598017757,40.5040347152269,35.3611855151827,0,14.0596137173003,8.24678719494496,24.7207774576855,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4495",37274311010690,-9999,"94290.MT",2010,4460,48.061082,-114.85521,104.0962479781,0,0,565.0939175954,104.0962479781,13.4750018075801,0,0,13.4750018075801,19.6039542144463,1.48450970813718,0,0,17.0568289200217,1.48450970813718,0,2.53712676522053,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4496",37274313010690,-9999,"82847.MT",2010,6210,48.061429,-113.08835,639.4483804369,0,0,639.4483804369,639.4483804369,17.4280471333917,0,0,17.4280471333917,17.4280471333917,15.2543337812801,0,0,15.2543337812801,15.2543337812801,0,23.2967002056194,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4497",37274314010690,-9999,"83611.MT",2010,6100,47.960252,-113.608903,59.4835702732,14.8708925683,0,223.0633885245,74.3544628415,25.5639359645576,17.272,0,24.1345448351528,24.0559143386126,3.05311224578966,0.348427637705005,0,10.1382345404455,3.40153988349467,0,3.96033569389523,0.539528337973504,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","PIEN","absent","PICO+PIEN",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4498",37274315010690,-9999,"86538.MT",2010,6350,47.969173,-113.274134,0,0,14.8708925683,14.8708925683,14.8708925683,0,0,12.954,12.954,12.954,0,0,0.195990546209065,0.195990546209065,0.195990546209065,0,0,0,0.340496209633167,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","absent","ABLA","ABLA",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4499",37274317010690,-9999,"86475.MT",2010,4850,47.915748,-113.408411,0,104.0962479781,118.9671405464,342.0305290709,223.0633885245,0,29.3324835731894,15.050437734498,22.8544489556556,28.9146543107996,0,7.03433504815643,2.11648691346414,22.4590396964025,9.15082196162058,0,0,8.65775635168687,3.45340390148504,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4500",37274318010690,-9999,"80114.MT",2010,7750,47.92502,-113.069377,0,237.9342810928,297.417851366,773.2864135516,535.3521324588,0,31.1784353359818,22.6194095059973,26.7635069783049,28.9657889998635,0,18.1658596232532,11.951429662871,50.9567131423815,30.1172892861242,20.8394238562573,0,21.4875436162544,15.8634512102726,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
