"ID","PRISM_ppt_stable_4kmM3_1981_bil","PRISM_ppt_stable_4kmM3_1982_bil","PRISM_ppt_stable_4kmM3_1983_bil","PRISM_ppt_stable_4kmM3_1984_bil","PRISM_ppt_stable_4kmM3_1985_bil","PRISM_ppt_stable_4kmM3_1986_bil","PRISM_ppt_stable_4kmM3_1987_bil","PRISM_ppt_stable_4kmM3_1988_bil","PRISM_ppt_stable_4kmM3_1989_bil","PRISM_ppt_stable_4kmM3_1990_bil","PRISM_ppt_stable_4kmM3_1991_bil","PRISM_ppt_stable_4kmM3_1992_bil","PRISM_ppt_stable_4kmM3_1993_bil","PRISM_ppt_stable_4kmM3_1994_bil","PRISM_ppt_stable_4kmM3_1995_bil","PRISM_ppt_stable_4kmM3_1996_bil","PRISM_ppt_stable_4kmM3_1997_bil","PRISM_ppt_stable_4kmM3_1998_bil","PRISM_ppt_stable_4kmM3_1999_bil","PRISM_ppt_stable_4kmM3_2000_bil","PRISM_ppt_stable_4kmM3_2001_bil","PRISM_ppt_stable_4kmM3_2002_bil","PRISM_ppt_stable_4kmM3_2003_bil","PRISM_ppt_stable_4kmM3_2004_bil","PRISM_ppt_stable_4kmM3_2005_bil","PRISM_ppt_stable_4kmM3_2006_bil","PRISM_ppt_stable_4kmM3_2007_bil","PRISM_ppt_stable_4kmM3_2008_bil","PRISM_ppt_stable_4kmM3_2009_bil","PRISM_ppt_stable_4kmM3_2010_bil","PRISM_ppt_stable_4kmM3_2011_bil","PRISM_ppt_stable_4kmM3_2012_bil","PRISM_ppt_stable_4kmM3_2013_bil","PRISM_ppt_stable_4kmM3_2014_bil","PRISM_ppt_stable_4kmM3_2015_bil","PRISM_ppt_stable_4kmM3_2016_bil","PRISM_ppt_stable_4kmM3_2017_bil","PRISM_ppt_stable_4kmM3_2018_bil","PRISM_ppt_stable_4kmM3_2019_bil","PRISM_ppt_stable_4kmM3_2020_bil","PLT_CN"
1,553.563049316406,646.846008300781,647.445007324219,512.260009765625,512.090026855469,479.917022705078,547.81201171875,424.914031982422,279.058013916016,387.350006103516,437.964019775391,516.201049804688,493.401031494141,478.558013916016,501.196014404297,458.521026611328,550.123046875,474.147033691406,417.956024169922,524.197998046875,399.399017333984,331.302001953125,377.284027099609,578.903015136719,546.118041992188,516.106994628906,428.396026611328,460.183013916016,446.300018310547,576.757019042969,524.522033691406,327.425018310547,431.787017822266,413.394012451172,601.220031738281,543.657043457031,469.450012207031,395.474029541016,599.417907714844,245.143997192383,14547091020004
2,670.43701171875,751.951049804688,782.529052734375,643.127014160156,599.676025390625,579.074035644531,549.188049316406,467.193023681641,396.370025634766,507.246032714844,523.420043945312,525.661010742188,566.594055175781,519.992004394531,621.08203125,665.515014648438,672.439025878906,585.544006347656,488.156036376953,612.517028808594,474.211029052734,376.980010986328,479.744018554688,607.834045410156,582.572021484375,605.899047851562,491.021026611328,571.067016601562,586.412048339844,749.2890625,622.3330078125,443.265014648438,501.470031738281,549.307006835938,599.676025390625,594.125,595.092041015625,480.784027099609,702.522888183594,336.565979003906,14547279020004
3,1103.27807617188,1088.7470703125,1338.97607421875,1112.72900390625,1053.61608886719,997.562072753906,1058.42602539062,782.505065917969,468.890014648438,796.271057128906,788.704040527344,836.577026367188,1006.12603759766,846.748046875,887.013061523438,978.634033203125,1004.41607666016,808.467041015625,789.2060546875,812.220031738281,802.690063476562,552.736999511719,743.953063964844,839.325012207031,968.64404296875,984.366027832031,786.56201171875,747.779052734375,647.542053222656,1093.84899902344,806.329040527344,520.795043945312,805.995056152344,743.808044433594,1034.5830078125,774.318054199219,475.392028808594,665.113037109375,898.06787109375,479.516876220703,14547841020004
4,762.094055175781,890.991027832031,1103.43701171875,953.2060546875,816.203063964844,744.596008300781,703.219055175781,666.453002929688,453.699035644531,703.731018066406,689.843017578125,698.013061523438,706.10302734375,779.029052734375,769.075012207031,763.959045410156,857.402038574219,883.329040527344,698.017028808594,719.223022460938,636.912048339844,480.242034912109,685.650024414062,717.984008789062,798.834045410156,725.612060546875,646.76904296875,694.149047851562,642.031005859375,978.926025390625,821.934020996094,644.736022949219,686.337036132812,651.588012695312,668.588012695312,665.08203125,632.237060546875,638.140014648438,825.651000976562,386.007995605469,14548644020004
5,584.666015625,680.441040039062,794.968017578125,640.342041015625,562.85400390625,515.220031738281,578.628051757812,517.068054199219,327.319030761719,468.433013916016,495.800018310547,521.95703125,542.848999023438,493.969024658203,508.463012695312,559.347045898438,663.9990234375,631.93505859375,487.075012207031,528.524047851562,472.980010986328,333.609008789062,476.872009277344,571.541015625,572.371032714844,556.809020996094,457.847015380859,477.501037597656,450.601013183594,693.982055664062,609.541015625,502.900024414062,586.868041992188,455.698028564453,542.664001464844,469.152008056641,440.404022216797,401.712005615234,545.964904785156,253.373886108398,14548657020004
6,535.636047363281,656.481018066406,662.142028808594,648.931030273438,554.1240234375,487.174011230469,524.570007324219,431.076019287109,330.801025390625,421.674011230469,476.102020263672,456.211029052734,490.096008300781,416.385009765625,510.821014404297,511.921020507812,621.512023925781,593.14501953125,476.712036132812,473.954010009766,438.906005859375,330.390014648438,440.660034179688,493.7490234375,502.401031494141,517.83203125,438.248016357422,416.318023681641,407.429016113281,627.515014648438,554.757019042969,405.063018798828,489.788024902344,475.236022949219,489.347015380859,406.169006347656,438.303009033203,410.134033203125,522.342895507812,273.118896484375,14549194020004
7,1029.71301269531,1151.79907226562,1199.9150390625,1013.47302246094,893.259033203125,1044.2490234375,739.805053710938,691.925048828125,806.10205078125,816.730041503906,955.139038085938,720.736022949219,972.340026855469,806.322021484375,1056.66003417969,1093.43701171875,935.387023925781,996.64404296875,889.423034667969,839.636047363281,713.625061035156,654.527038574219,819.154052734375,821.736022949219,922.429016113281,955.363037109375,740.138061523438,918.521057128906,935.890014648438,1094.38403320312,990.166076660156,691.393005371094,734.123046875,921.327026367188,701.036010742188,879.566040039062,955.132019042969,631.917053222656,922.207885742188,577.046997070312,14549277020004
8,614.109008789062,712.008056640625,758.786010742188,755.388061523438,600.433044433594,536.81103515625,581.598999023438,494.553009033203,345.588012695312,510.731018066406,540.426025390625,521.459045410156,559.161010742188,485.493011474609,569.776000976562,585.231018066406,704.60400390625,673.452026367188,551.397033691406,537.882019042969,502.939025878906,365.268005371094,504.550018310547,577.012023925781,576.369018554688,597.447021484375,515.513000488281,500.551025390625,472.443023681641,704.51904296875,631.943054199219,484.987030029297,568.863037109375,515.513000488281,567.85205078125,481.761016845703,492.793029785156,443.878021240234,616.265869140625,302.645904541016,14550088020004
9,1104.59301757812,1570.05212402344,1832.56506347656,1281.55505371094,1194.98803710938,1441.22509765625,887.89404296875,922.577026367188,822.653015136719,981.0390625,981.980041503906,831.85302734375,1179.3330078125,1015.78302001953,1163.47900390625,1449.09106445312,1113.90710449219,1401.037109375,968.369018554688,1030.77502441406,922.10302734375,746.411010742188,876.441040039062,1066.80603027344,1265.10400390625,1287.94909667969,852.02001953125,1029.0390625,1179.86706542969,1300.5810546875,1203.54211425781,981.044067382812,665.60400390625,1144.9560546875,864.152038574219,1195.7451171875,1343.13000488281,755.017028808594,1276.24401855469,651.617004394531,14550197020004
10,641.012023925781,756.373046875,748.52001953125,754.570007324219,765.174011230469,779.986022949219,659.335021972656,703.781005859375,652.550048828125,818.161010742188,822.515014648438,618.320007324219,780.276062011719,963.174072265625,752.393005371094,660.476013183594,750.955017089844,754.391052246094,696.660034179688,617.988037109375,599.845031738281,512.807006835938,579.262023925781,728.474060058594,704.45703125,717.97802734375,764.719055175781,756.430053710938,609.454040527344,649.893005371094,580.259033203125,496.047027587891,612.679016113281,592.897033691406,780.782043457031,578.527038574219,748.928039550781,477.218017578125,658.806884765625,439.568878173828,37259363010690
