".metric",".estimator",".estimate",".config"
"sens","binary",1,"Preprocessor1_Model1"
"spec","binary",0.004149377593361,"Preprocessor1_Model1"
"roc_auc","binary",0.858157331763557,"Preprocessor1_Model1"
