"value","yhat","var"
0,0.0711637657653415,"BA.PIEN"
1.59317482412645,0.192892814938611,"BA.PIEN"
3.1863496482529,0.252805768936291,"BA.PIEN"
4.77952447237934,0.336361682940253,"BA.PIEN"
6.37269929650579,0.336162594844665,"BA.PIEN"
7.96587412063224,0.380850944198802,"BA.PIEN"
9.55904894475869,0.377257168973358,"BA.PIEN"
11.1522237688851,0.394403059198291,"BA.PIEN"
12.7453985930116,0.388274910513247,"BA.PIEN"
14.338573417138,0.393432013935208,"BA.PIEN"
15.9317482412645,0.401100458020268,"BA.PIEN"
17.5249230653909,0.406302326237203,"BA.PIEN"
19.1180978895174,0.408187682157481,"BA.PIEN"
20.7112727136438,0.413307833479084,"BA.PIEN"
22.3044475377703,0.407476678666734,"BA.PIEN"
23.8976223618967,0.415340155891096,"BA.PIEN"
25.4907971860232,0.427758592617457,"BA.PIEN"
27.0839720101496,0.420109118431077,"BA.PIEN"
28.6771468342761,0.417306651251106,"BA.PIEN"
30.2703216584025,0.416072051708966,"BA.PIEN"
31.863496482529,0.417534529181213,"BA.PIEN"
33.4566713066554,0.418032326078387,"BA.PIEN"
35.0498461307819,0.414394656498435,"BA.PIEN"
36.6430209549083,0.41484516150828,"BA.PIEN"
38.2361957790348,0.423315855682943,"BA.PIEN"
39.8293706031612,0.424831199852461,"BA.PIEN"
41.4225454272877,0.423275421722564,"BA.PIEN"
43.0157202514141,0.415661023881399,"BA.PIEN"
44.6088950755405,0.41329732690318,"BA.PIEN"
46.202069899667,0.410956412144477,"BA.PIEN"
47.7952447237934,0.410377649164508,"BA.PIEN"
49.3884195479199,0.422187245979578,"BA.PIEN"
50.9815943720463,0.421513020860084,"BA.PIEN"
52.5747691961728,0.417717649536844,"BA.PIEN"
54.1679440202992,0.417548525909613,"BA.PIEN"
55.7611188444257,0.419526460494957,"BA.PIEN"
57.3542936685521,0.421903382183094,"BA.PIEN"
58.9474684926786,0.421925334336852,"BA.PIEN"
60.540643316805,0.420984064430006,"BA.PIEN"
62.1338181409315,0.420825012632015,"BA.PIEN"
63.7269929650579,0.416327390370679,"BA.PIEN"
65.3201677891844,0.414904691517707,"BA.PIEN"
66.9133426133108,0.414711598768415,"BA.PIEN"
68.5065174374373,0.41334431654462,"BA.PIEN"
70.0996922615637,0.413100871469056,"BA.PIEN"
71.6928670856902,0.412093604050861,"BA.PIEN"
73.2860419098166,0.405287139748237,"BA.PIEN"
74.8792167339431,0.396679420957282,"BA.PIEN"
76.4723915580695,0.393229699290866,"BA.PIEN"
78.065566382196,0.393229699290866,"BA.PIEN"
79.6587412063224,0.393229699290866,"BA.PIEN"
0,0.190591010027231,"QMD.PIEN"
1.89484,0.190591010027231,"QMD.PIEN"
3.78968,0.190591010027231,"QMD.PIEN"
5.68452,0.190591010027231,"QMD.PIEN"
7.57936,0.190591010027231,"QMD.PIEN"
9.4742,0.190591010027231,"QMD.PIEN"
11.36904,0.190591010027231,"QMD.PIEN"
13.26388,0.211113758810548,"QMD.PIEN"
15.15872,0.260858966978812,"QMD.PIEN"
17.05356,0.333794319691255,"QMD.PIEN"
18.9484,0.301936503048671,"QMD.PIEN"
20.84324,0.33105554684396,"QMD.PIEN"
22.73808,0.350276366525447,"QMD.PIEN"
24.63292,0.351133393867964,"QMD.PIEN"
26.52776,0.327558560652133,"QMD.PIEN"
28.4226,0.331181096727038,"QMD.PIEN"
30.31744,0.320916834431902,"QMD.PIEN"
32.21228,0.320090611551807,"QMD.PIEN"
34.10712,0.305390207283367,"QMD.PIEN"
36.00196,0.28218969901663,"QMD.PIEN"
