"value","yhat","var","method"
0,0.138472866010821,"BA.PICO","PD"
0.482442672785262,0.184779350676545,"BA.PICO","PD"
0.964885345570524,0.293439358848779,"BA.PICO","PD"
1.44732801835579,0.3111442101799,"BA.PICO","PD"
1.92977069114105,0.323781595933197,"BA.PICO","PD"
2.41221336392631,0.360749004801365,"BA.PICO","PD"
2.89465603671157,0.397192247306357,"BA.PICO","PD"
3.37709870949683,0.409225875357718,"BA.PICO","PD"
3.8595413822821,0.393602098001344,"BA.PICO","PD"
4.34198405506736,0.40450095964798,"BA.PICO","PD"
4.82442672785262,0.423588481628615,"BA.PICO","PD"
5.30686940063788,0.414251554645074,"BA.PICO","PD"
5.78931207342314,0.414876483906432,"BA.PICO","PD"
6.27175474620841,0.418682716765052,"BA.PICO","PD"
6.75419741899367,0.435120392067283,"BA.PICO","PD"
7.23664009177893,0.441501848642713,"BA.PICO","PD"
7.71908276456419,0.457478840181225,"BA.PICO","PD"
8.20152543734945,0.457381839190168,"BA.PICO","PD"
8.68396811013472,0.45602577708883,"BA.PICO","PD"
9.16641078291998,0.454610424659813,"BA.PICO","PD"
9.64885345570524,0.458169556306401,"BA.PICO","PD"
10.1312961284905,0.450811191597802,"BA.PICO","PD"
10.6137388012758,0.44840769073656,"BA.PICO","PD"
11.096181474061,0.45039427365406,"BA.PICO","PD"
11.5786241468463,0.462214593338034,"BA.PICO","PD"
12.0610668196316,0.459331287644121,"BA.PICO","PD"
12.5435094924168,0.464934098028036,"BA.PICO","PD"
13.0259521652021,0.466250279394115,"BA.PICO","PD"
13.5083948379873,0.463488080004034,"BA.PICO","PD"
13.9908375107726,0.464102081245663,"BA.PICO","PD"
14.4732801835579,0.463951464486705,"BA.PICO","PD"
14.9557228563431,0.465336988254752,"BA.PICO","PD"
15.4381655291284,0.464544756920185,"BA.PICO","PD"
15.9206082019136,0.465105044834072,"BA.PICO","PD"
16.4030508746989,0.466300013869595,"BA.PICO","PD"
16.8854935474842,0.472808935658878,"BA.PICO","PD"
17.3679362202694,0.47144154763591,"BA.PICO","PD"
17.8503788930547,0.472569288981716,"BA.PICO","PD"
18.33282156584,0.468092059624943,"BA.PICO","PD"
18.8152642386252,0.462115759716858,"BA.PICO","PD"
19.2977069114105,0.463303690814991,"BA.PICO","PD"
19.7801495841957,0.462230421939282,"BA.PICO","PD"
20.262592256981,0.461444943504744,"BA.PICO","PD"
20.7450349297663,0.471955722870563,"BA.PICO","PD"
21.2274776025515,0.475242757741683,"BA.PICO","PD"
21.7099202753368,0.477295688009055,"BA.PICO","PD"
22.1923629481221,0.476408079331391,"BA.PICO","PD"
22.6748056209073,0.470799413550447,"BA.PICO","PD"
23.1572482936926,0.468343770540532,"BA.PICO","PD"
23.6396909664778,0.476063007743108,"BA.PICO","PD"
24.1221336392631,0.461588527639085,"BA.PICO","PD"
0,-0.276474629411201,"BA.PICO","ALE"
0.227939793265061,-0.215528904892849,"BA.PICO","ALE"
0.369224789090512,-0.207080655960383,"BA.PICO","ALE"
0.499206985249926,-0.201310426585207,"BA.PICO","ALE"
0.737620706205514,-0.134944482955805,"BA.PICO","ALE"
0.936022516343334,-0.0231608947097341,"BA.PICO","ALE"
1.16870948546813,-0.0282758492013123,"BA.PICO","ALE"
1.47938577228857,-0.0128166931263349,"BA.PICO","ALE"
1.77906066743408,0.00284575990098829,"BA.PICO","ALE"
2.18566004742028,0.0365289064808922,"BA.PICO","ALE"
2.64372484188584,0.134045482937522,"BA.PICO","ALE"
3.21655072896054,0.158202359203192,"BA.PICO","ALE"
3.79337027191725,0.147217509039221,"BA.PICO","ALE"
4.46000939622006,0.182883117597395,"BA.PICO","ALE"
5.16372170342747,0.172644786364597,"BA.PICO","ALE"
6.31992275726518,0.181415559316918,"BA.PICO","ALE"
7.27629031300738,0.223056537441883,"BA.PICO","ALE"
8.16371079078676,0.267236583897014,"BA.PICO","ALE"
9.17764727282797,0.261252000575122,"BA.PICO","ALE"
10.4198249561253,0.252923582471149,"BA.PICO","ALE"
11.3935988233532,0.306808154620854,"BA.PICO","ALE"
12.7037440086424,0.320361282988923,"BA.PICO","ALE"
14.3996914225322,0.306836974611523,"BA.PICO","ALE"
16.2202710407395,0.317336982630984,"BA.PICO","ALE"
17.6654470060389,0.34110531122593,"BA.PICO","ALE"
19.5991299729043,0.328707593393022,"BA.PICO","ALE"
21.5941494659575,0.357713443884944,"BA.PICO","ALE"
23.9370691327312,0.338382367045164,"BA.PICO","ALE"
26.6180178615172,0.277793598789491,"BA.PICO","ALE"
30.6863475733102,0.301068380149093,"BA.PICO","ALE"
35.3091172847212,0.263620078880883,"BA.PICO","ALE"
54.9484098724388,0.332243277430328,"BA.PICO","ALE"
0,0.115146006109497,"QMD.PICO","PD"
1.14808,0.115146006109497,"QMD.PICO","PD"
2.29616,0.115146006109497,"QMD.PICO","PD"
3.44424,0.115146006109497,"QMD.PICO","PD"
4.59232,0.115146006109497,"QMD.PICO","PD"
5.7404,0.115146006109497,"QMD.PICO","PD"
6.88848,0.115146006109497,"QMD.PICO","PD"
8.03656,0.115146006109497,"QMD.PICO","PD"
9.18464,0.115146006109497,"QMD.PICO","PD"
10.33272,0.115146006109497,"QMD.PICO","PD"
11.4808,0.115146006109497,"QMD.PICO","PD"
12.62888,0.115146006109497,"QMD.PICO","PD"
13.77696,0.144766060891935,"QMD.PICO","PD"
14.92504,0.152023382097729,"QMD.PICO","PD"
16.07312,0.219647370691762,"QMD.PICO","PD"
17.2212,0.378532658253541,"QMD.PICO","PD"
