"value","yhat","var","method"
0,0.0890961705519017,"BA.PIEN","PD"
0.32234228311575,0.0978934384396906,"BA.PIEN","PD"
0.6446845662315,0.0926301830786654,"BA.PIEN","PD"
0.96702684934725,0.0922289348334493,"BA.PIEN","PD"
1.289369132463,0.160634380828165,"BA.PIEN","PD"
1.61171141557875,0.169801594028127,"BA.PIEN","PD"
1.9340536986945,0.259075288195053,"BA.PIEN","PD"
2.25639598181025,0.299578686140496,"BA.PIEN","PD"
2.578738264926,0.36351167312772,"BA.PIEN","PD"
2.90108054804175,0.377918972876113,"BA.PIEN","PD"
3.2234228311575,0.369433944240911,"BA.PIEN","PD"
3.54576511427325,0.371603711191865,"BA.PIEN","PD"
3.868107397389,0.373984422252717,"BA.PIEN","PD"
4.19044968050475,0.373036098577279,"BA.PIEN","PD"
4.5127919636205,0.372212034516923,"BA.PIEN","PD"
4.83513424673625,0.367337217559958,"BA.PIEN","PD"
5.157476529852,0.371512793421708,"BA.PIEN","PD"
5.47981881296775,0.37362592846149,"BA.PIEN","PD"
5.8021610960835,0.378678006250612,"BA.PIEN","PD"
6.12450337919925,0.383267715067109,"BA.PIEN","PD"
6.446845662315,0.375993508013657,"BA.PIEN","PD"
6.76918794543075,0.434524692408361,"BA.PIEN","PD"
7.0915302285465,0.452884672198095,"BA.PIEN","PD"
7.41387251166225,0.45862478282385,"BA.PIEN","PD"
7.736214794778,0.471493849221176,"BA.PIEN","PD"
8.05855707789375,0.485081239546329,"BA.PIEN","PD"
8.3808993610095,0.487534317807247,"BA.PIEN","PD"
8.70324164412525,0.481932970231679,"BA.PIEN","PD"
9.025583927241,0.505259215208419,"BA.PIEN","PD"
9.34792621035675,0.506838645145045,"BA.PIEN","PD"
9.6702684934725,0.50021930801033,"BA.PIEN","PD"
9.99261077658825,0.501938654536984,"BA.PIEN","PD"
10.314953059704,0.493701161715324,"BA.PIEN","PD"
10.6372953428198,0.49926535145443,"BA.PIEN","PD"
10.9596376259355,0.481332207755165,"BA.PIEN","PD"
11.2819799090513,0.476574567612437,"BA.PIEN","PD"
11.604322192167,0.469924156945199,"BA.PIEN","PD"
11.9266644752828,0.463871491081141,"BA.PIEN","PD"
12.2490067583985,0.46264198383293,"BA.PIEN","PD"
12.5713490415143,0.461690656177981,"BA.PIEN","PD"
12.89369132463,0.462845449036605,"BA.PIEN","PD"
13.2160336077458,0.463661741255941,"BA.PIEN","PD"
13.5383758908615,0.463106040512701,"BA.PIEN","PD"
13.8607181739773,0.461891820285949,"BA.PIEN","PD"
14.183060457093,0.461490319657345,"BA.PIEN","PD"
14.5054027402088,0.465564313371634,"BA.PIEN","PD"
14.8277450233245,0.463378249133736,"BA.PIEN","PD"
15.1500873064403,0.469943187735658,"BA.PIEN","PD"
15.472429589556,0.476785257262641,"BA.PIEN","PD"
15.7947718726718,0.476921159131006,"BA.PIEN","PD"
16.1171141557875,0.476078973144574,"BA.PIEN","PD"
0,-0.207575531520011,"BA.PIEN","ALE"
0.203751801979744,-0.207575531520011,"BA.PIEN","ALE"
0.308641782880558,-0.200892311359976,"BA.PIEN","ALE"
0.494384457392418,-0.20727947932395,"BA.PIEN","ALE"
0.651794780741414,-0.206114582876532,"BA.PIEN","ALE"
0.862705022509646,-0.204174713726841,"BA.PIEN","ALE"
1.10322859940289,-0.145629838759838,"BA.PIEN","ALE"
1.41096615831017,-0.0798953184179567,"BA.PIEN","ALE"
1.76911420372797,-0.00730309205983554,"BA.PIEN","ALE"
2.27698666872185,0.0879491628538532,"BA.PIEN","ALE"
2.64108752196376,0.123779913082215,"BA.PIEN","ALE"
3.07466291715291,0.127949398423641,"BA.PIEN","ALE"
3.66542257969772,0.145811668093806,"BA.PIEN","ALE"
4.43770520487908,0.152116492632688,"BA.PIEN","ALE"
5.07902605792997,0.163800090062845,"BA.PIEN","ALE"
6.20938137653135,0.183894049808499,"BA.PIEN","ALE"
7.13266940525095,0.322329509581047,"BA.PIEN","ALE"
7.98474979607452,0.348533008087457,"BA.PIEN","ALE"
9.12738749031299,0.446772244077254,"BA.PIEN","ALE"
10.1687520995438,0.445828336106586,"BA.PIEN","ALE"
11.6770730389774,0.427712390769533,"BA.PIEN","ALE"
13.1693440028853,0.445139235821763,"BA.PIEN","ALE"
14.9520215662125,0.446917467876643,"BA.PIEN","ALE"
17.3976460059516,0.45261595068002,"BA.PIEN","ALE"
20.0319518481157,0.346217374675715,"BA.PIEN","ALE"
24.732484821229,0.397325843577014,"BA.PIEN","ALE"
30.303031960636,0.416907093701754,"BA.PIEN","ALE"
40.5344015703297,0.430338609377857,"BA.PIEN","ALE"
74.2064967034199,0.0488811079176181,"BA.PIEN","ALE"
0,0.147224294988987,"QMD.PIEN","PD"
1.38176,0.147224294988987,"QMD.PIEN","PD"
2.76352,0.147224294988987,"QMD.PIEN","PD"
