"value","yhat","var"
0,0.0475656790893721,"BA.PIEN"
1.59317482412645,0.0577310001998495,"BA.PIEN"
3.1863496482529,0.0776744835367387,"BA.PIEN"
4.77952447237934,0.114111272370129,"BA.PIEN"
6.37269929650579,0.136356635636256,"BA.PIEN"
7.96587412063224,0.154077212498599,"BA.PIEN"
9.55904894475869,0.19962860589249,"BA.PIEN"
11.1522237688851,0.222246501733276,"BA.PIEN"
12.7453985930116,0.219796692041873,"BA.PIEN"
14.338573417138,0.219754564102342,"BA.PIEN"
15.9317482412645,0.22743762866952,"BA.PIEN"
17.5249230653909,0.251606060620411,"BA.PIEN"
19.1180978895174,0.26055710711656,"BA.PIEN"
20.7112727136438,0.270957884455713,"BA.PIEN"
22.3044475377703,0.279300283546511,"BA.PIEN"
23.8976223618967,0.291840746469469,"BA.PIEN"
25.4907971860232,0.31374953437018,"BA.PIEN"
27.0839720101496,0.309477454976139,"BA.PIEN"
28.6771468342761,0.300006027212483,"BA.PIEN"
30.2703216584025,0.298975584080524,"BA.PIEN"
31.863496482529,0.301810449627725,"BA.PIEN"
33.4566713066554,0.310954826496554,"BA.PIEN"
35.0498461307819,0.308626397576637,"BA.PIEN"
36.6430209549083,0.308782460754461,"BA.PIEN"
38.2361957790348,0.309153678540667,"BA.PIEN"
39.8293706031612,0.311653790340228,"BA.PIEN"
41.4225454272877,0.311679585291391,"BA.PIEN"
43.0157202514141,0.301424769610588,"BA.PIEN"
44.6088950755405,0.302422624895826,"BA.PIEN"
46.202069899667,0.303937136367142,"BA.PIEN"
47.7952447237934,0.297601055237232,"BA.PIEN"
49.3884195479199,0.310095896591454,"BA.PIEN"
50.9815943720463,0.311103910785241,"BA.PIEN"
52.5747691961728,0.312083997960756,"BA.PIEN"
54.1679440202992,0.310816615462069,"BA.PIEN"
55.7611188444257,0.312830176606778,"BA.PIEN"
57.3542936685521,0.315961814035737,"BA.PIEN"
58.9474684926786,0.320184705984727,"BA.PIEN"
60.540643316805,0.321780224433869,"BA.PIEN"
62.1338181409315,0.321771282185829,"BA.PIEN"
63.7269929650579,0.321276706056779,"BA.PIEN"
65.3201677891844,0.31977455650399,"BA.PIEN"
66.9133426133108,0.319265747950028,"BA.PIEN"
68.5065174374373,0.319265747950028,"BA.PIEN"
70.0996922615637,0.320321861849603,"BA.PIEN"
71.6928670856902,0.319210565713347,"BA.PIEN"
73.2860419098166,0.319026868578907,"BA.PIEN"
74.8792167339431,0.319026868578907,"BA.PIEN"
76.4723915580695,0.319121862331612,"BA.PIEN"
78.065566382196,0.319454060473801,"BA.PIEN"
79.6587412063224,0.319454060473801,"BA.PIEN"
0,0.0891371823983142,"QMD.PIEN"
1.89484,0.0891371823983142,"QMD.PIEN"
3.78968,0.0891371823983142,"QMD.PIEN"
5.68452,0.0891371823983142,"QMD.PIEN"
7.57936,0.0891371823983142,"QMD.PIEN"
9.4742,0.0891371823983142,"QMD.PIEN"
11.36904,0.0891371823983142,"QMD.PIEN"
13.26388,0.0840828040710378,"QMD.PIEN"
15.15872,0.093033410282794,"QMD.PIEN"
17.05356,0.0987637568028837,"QMD.PIEN"
18.9484,0.117086266622873,"QMD.PIEN"
20.84324,0.151775127271199,"QMD.PIEN"
22.73808,0.140370347716261,"QMD.PIEN"
24.63292,0.130285538574313,"QMD.PIEN"
26.52776,0.127359597631679,"QMD.PIEN"
28.4226,0.133874421428834,"QMD.PIEN"
30.31744,0.124171475241353,"QMD.PIEN"
32.21228,0.126259093906319,"QMD.PIEN"
