"value","yhat","var"
0,0.107804914094207,"BA.PICO"
1.12415234214466,0.209016986954764,"BA.PICO"
2.24830468428932,0.31247442991665,"BA.PICO"
3.37245702643398,0.380499086591518,"BA.PICO"
4.49660936857864,0.420573199235486,"BA.PICO"
5.6207617107233,0.423694873661622,"BA.PICO"
6.74491405286796,0.467940510694261,"BA.PICO"
7.86906639501262,0.49907990226282,"BA.PICO"
8.99321873715728,0.500072358200006,"BA.PICO"
10.1173710793019,0.492137222332671,"BA.PICO"
11.2415234214466,0.481400092393449,"BA.PICO"
12.3656757635913,0.494294154955669,"BA.PICO"
13.4898281057359,0.501229454108943,"BA.PICO"
14.6139804478806,0.501004613850105,"BA.PICO"
15.7381327900252,0.499430266873045,"BA.PICO"
16.8622851321699,0.508162902936212,"BA.PICO"
17.9864374743146,0.507670042658639,"BA.PICO"
19.1105898164592,0.499571214499032,"BA.PICO"
20.2347421586039,0.509401765226626,"BA.PICO"
21.3588945007485,0.509199666784229,"BA.PICO"
22.4830468428932,0.504403512635457,"BA.PICO"
23.6071991850379,0.518664852850628,"BA.PICO"
24.7313515271825,0.510372373785758,"BA.PICO"
25.8555038693272,0.516597251927811,"BA.PICO"
26.9796562114718,0.516180827662839,"BA.PICO"
28.1038085536165,0.515519874280999,"BA.PICO"
29.2279608957612,0.514829284312551,"BA.PICO"
30.3521132379058,0.515208564683689,"BA.PICO"
31.4762655800505,0.510098716318147,"BA.PICO"
32.6004179221951,0.517355315675451,"BA.PICO"
33.7245702643398,0.522550754286303,"BA.PICO"
34.8487226064845,0.517099406225792,"BA.PICO"
35.9728749486291,0.515786053772535,"BA.PICO"
37.0970272907738,0.511148170147072,"BA.PICO"
38.2211796329184,0.511250761131487,"BA.PICO"
39.3453319750631,0.518418481733008,"BA.PICO"
40.4694843172078,0.517333246999662,"BA.PICO"
41.5936366593524,0.511130776880612,"BA.PICO"
42.7177890014971,0.510293302889428,"BA.PICO"
43.8419413436417,0.510777883194053,"BA.PICO"
44.9660936857864,0.509720126226326,"BA.PICO"
46.0902460279311,0.499753417748216,"BA.PICO"
47.2143983700757,0.494126801568513,"BA.PICO"
48.3385507122204,0.493456712392478,"BA.PICO"
49.462703054365,0.486501341517694,"BA.PICO"
50.5868553965097,0.485965160384843,"BA.PICO"
51.7110077386544,0.48600874294092,"BA.PICO"
52.835160080799,0.471366037263961,"BA.PICO"
53.9593124229437,0.441354740311599,"BA.PICO"
55.0834647650883,0.44153409970286,"BA.PICO"
56.207617107233,0.44153409970286,"BA.PICO"
0,0.145452656160466,"QMD.PICO"
1.1938,0.145452656160466,"QMD.PICO"
2.3876,0.145452656160466,"QMD.PICO"
3.5814,0.145452656160466,"QMD.PICO"
4.7752,0.145452656160466,"QMD.PICO"
5.969,0.145452656160466,"QMD.PICO"
7.1628,0.145452656160466,"QMD.PICO"
8.3566,0.145452656160466,"QMD.PICO"
9.5504,0.145452656160466,"QMD.PICO"
10.7442,0.145452656160466,"QMD.PICO"
11.938,0.145452656160466,"QMD.PICO"
13.1318,0.149647255884904,"QMD.PICO"
14.3256,0.19626298049671,"QMD.PICO"
15.5194,0.352163992092465,"QMD.PICO"
16.7132,0.403239109237411,"QMD.PICO"
17.907,0.480823714108023,"QMD.PICO"
19.1008,0.468341846760262,"QMD.PICO"
20.2946,0.463232108885839,"QMD.PICO"
21.4884,0.448568683571594,"QMD.PICO"
22.6822,0.457076326515276,"QMD.PICO"
23.876,0.449879716444722,"QMD.PICO"
25.0698,0.455227663361499,"QMD.PICO"
26.2636,0.444135257200271,"QMD.PICO"
27.4574,0.428578521085668,"QMD.PICO"
28.6512,0.438464161752298,"QMD.PICO"
29.845,0.438218316503506,"QMD.PICO"
31.0388,0.430644765944034,"QMD.PICO"
32.2326,0.419474532281741,"QMD.PICO"
33.4264,0.425496750634284,"QMD.PICO"
34.6202,0.428232115690515,"QMD.PICO"
35.814,0.427516047573567,"QMD.PICO"
37.0078,0.419785960515572,"QMD.PICO"
38.2016,0.379519391787271,"QMD.PICO"
39.3954,0.368499351794465,"QMD.PICO"
40.5892,0.360503132532102,"QMD.PICO"
41.783,0.360290136672555,"QMD.PICO"
42.9768,0.35626169020984,"QMD.PICO"
44.1706,0.343710380794401,"QMD.PICO"
45.3644,0.334585737669209,"QMD.PICO"
46.5582,0.327598387778705,"QMD.PICO"
47.752,0.327660884655242,"QMD.PICO"
48.9458,0.326192201362208,"QMD.PICO"
50.1396,0.32579246194432,"QMD.PICO"
51.3334,0.327817459659924,"QMD.PICO"
52.5272,0.33499221477183,"QMD.PICO"
53.721,0.338115741242582,"QMD.PICO"
54.9148,0.338045610516077,"QMD.PICO"
56.1086,0.337641825580162,"QMD.PICO"
57.3024,0.332353893592328,"QMD.PICO"
58.4962,0.331782244728975,"QMD.PICO"
59.69,0.331752208928727,"QMD.PICO"
0,0.231240898820766,"propBA.PICO"
2,0.277419098932698,"propBA.PICO"
4,0.300423805934456,"propBA.PICO"
6,0.314188103409766,"propBA.PICO"
8,0.337855895929567,"propBA.PICO"
10,0.336404801295548,"propBA.PICO"
12,0.323877533138024,"propBA.PICO"
14,0.334717614435682,"propBA.PICO"
16,0.348239085134814,"propBA.PICO"
18,0.332670659919498,"propBA.PICO"
20,0.335224971481579,"propBA.PICO"
22,0.332843156611179,"propBA.PICO"
24,0.322771389761634,"propBA.PICO"
26,0.327582790791533,"propBA.PICO"
28,0.335101144037448,"propBA.PICO"
30,0.347405781254882,"propBA.PICO"
32,0.343207939729667,"propBA.PICO"
34,0.349854972770513,"propBA.PICO"
36,0.362768459871202,"propBA.PICO"
38,0.366550631322099,"propBA.PICO"
40,0.363888392361998,"propBA.PICO"
42,0.360950901348056,"propBA.PICO"
44,0.361617614329159,"propBA.PICO"
46,0.359577639495411,"propBA.PICO"
48,0.357970093599093,"propBA.PICO"
50,0.346928125541271,"propBA.PICO"
52,0.335361562220219,"propBA.PICO"
54,0.317596440048853,"propBA.PICO"
56,0.32505381775656,"propBA.PICO"
58,0.327421593375144,"propBA.PICO"
60,0.332602114481235,"propBA.PICO"
62,0.336798185234406,"propBA.PICO"
64,0.340328661417607,"propBA.PICO"
66,0.335741514784659,"propBA.PICO"
68,0.3361497870016,"propBA.PICO"
70,0.341565607858939,"propBA.PICO"
72,0.341230723315528,"propBA.PICO"
74,0.342850710291402,"propBA.PICO"
76,0.334645335369597,"propBA.PICO"
78,0.337142720368348,"propBA.PICO"
80,0.338698072236755,"propBA.PICO"
82,0.337510342920317,"propBA.PICO"
84,0.345469815216379,"propBA.PICO"
86,0.356569572425004,"propBA.PICO"
88,0.353004043183386,"propBA.PICO"
90,0.353292097949928,"propBA.PICO"
92,0.347774445536481,"propBA.PICO"
94,0.343026815332317,"propBA.PICO"
96,0.354707313652891,"propBA.PICO"
98,0.347935486285073,"propBA.PICO"
100,0.337500256602696,"propBA.PICO"
