".metric",".estimator",".estimate",".config"
"sens","binary",0.773399014778325,"Preprocessor1_Model1"
"spec","binary",0.836448598130841,"Preprocessor1_Model1"
"roc_auc","binary",0.883380906342556,"Preprocessor1_Model1"
