".metric",".estimator",".estimate",".config"
"sens","binary",0.62234264276782,"Preprocessor1_Model1"
"spec","binary",0.991803278688525,"Preprocessor1_Model1"
"roc_auc","binary",0.87730970554671,"Preprocessor1_Model1"
