".metric",".estimator",".estimate",".config"
"sens","binary",0.767926988265971,"Preprocessor1_Model1"
"spec","binary",0.821428571428571,"Preprocessor1_Model1"
"roc_auc","binary",0.857841311231142,"Preprocessor1_Model1"
