"value","yhat","var","method"
0,0.0595439596166194,"BA.ABLA","PD"
0.300488696721458,0.0595439596166194,"BA.ABLA","PD"
0.600977393442916,0.0845982299339227,"BA.ABLA","PD"
0.901466090164374,0.0833307934448652,"BA.ABLA","PD"
1.20195478688583,0.0858550931290252,"BA.ABLA","PD"
1.50244348360729,0.140682466253054,"BA.ABLA","PD"
1.80293218032875,0.18890016824276,"BA.ABLA","PD"
2.10342087705021,0.192490198017075,"BA.ABLA","PD"
2.40390957377166,0.272050826312143,"BA.ABLA","PD"
2.70439827049312,0.27301612386284,"BA.ABLA","PD"
3.00488696721458,0.295577671334362,"BA.ABLA","PD"
3.30537566393604,0.308485608964686,"BA.ABLA","PD"
3.6058643606575,0.385370982635129,"BA.ABLA","PD"
3.90635305737895,0.399513809518893,"BA.ABLA","PD"
4.20684175410041,0.404662776528616,"BA.ABLA","PD"
4.50733045082187,0.37940887022503,"BA.ABLA","PD"
4.80781914754333,0.376658852356318,"BA.ABLA","PD"
5.10830784426479,0.379894496114048,"BA.ABLA","PD"
5.40879654098624,0.395584245881778,"BA.ABLA","PD"
5.7092852377077,0.396233499882036,"BA.ABLA","PD"
6.00977393442916,0.398734172061387,"BA.ABLA","PD"
6.31026263115062,0.400382786019433,"BA.ABLA","PD"
6.61075132787208,0.390954728950449,"BA.ABLA","PD"
6.91124002459353,0.411032982457967,"BA.ABLA","PD"
7.21172872131499,0.411540047169467,"BA.ABLA","PD"
7.51221741803645,0.412131794284174,"BA.ABLA","PD"
7.81270611475791,0.428507889677067,"BA.ABLA","PD"
8.11319481147937,0.428713426747923,"BA.ABLA","PD"
8.41368350820082,0.435450850318537,"BA.ABLA","PD"
8.71417220492228,0.448276919382981,"BA.ABLA","PD"
9.01466090164374,0.453816840473041,"BA.ABLA","PD"
9.3151495983652,0.457951040997446,"BA.ABLA","PD"
9.61563829508666,0.448885043587904,"BA.ABLA","PD"
9.91612699180811,0.448769241862674,"BA.ABLA","PD"
10.2166156885296,0.45408262666603,"BA.ABLA","PD"
10.517104385251,0.453004364091227,"BA.ABLA","PD"
10.8175930819725,0.440539904822793,"BA.ABLA","PD"
11.1180817786939,0.438717715003384,"BA.ABLA","PD"
11.4185704754154,0.436995627328241,"BA.ABLA","PD"
11.7190591721369,0.44562877597678,"BA.ABLA","PD"
12.0195478688583,0.457088919371309,"BA.ABLA","PD"
12.3200365655798,0.45791855316953,"BA.ABLA","PD"
12.6205252623012,0.444253288531826,"BA.ABLA","PD"
12.9210139590227,0.440261496353488,"BA.ABLA","PD"
13.2215026557442,0.473443375035352,"BA.ABLA","PD"
13.5219913524656,0.474894841340741,"BA.ABLA","PD"
13.8224800491871,0.473482271089784,"BA.ABLA","PD"
14.1229687459085,0.47305217984511,"BA.ABLA","PD"
14.42345744263,0.472806137735641,"BA.ABLA","PD"
14.7239461393514,0.472816295137897,"BA.ABLA","PD"
15.0244348360729,0.471997406301743,"BA.ABLA","PD"
0,-0.235214006423436,"BA.ABLA","ALE"
0.203751801979744,-0.235214006423436,"BA.ABLA","ALE"
0.280384783715468,-0.235214006423436,"BA.ABLA","ALE"
0.390624756458207,-0.128244144333144,"BA.ABLA","ALE"
0.544418183914071,-0.16035224158104,"BA.ABLA","ALE"
0.723680586617403,-0.161440733060407,"BA.ABLA","ALE"
0.912738749031299,-0.163026001414205,"BA.ABLA","ALE"
1.1559749978444,-0.163550167510047,"BA.ABLA","ALE"
1.38414084710278,-0.117465937084989,"BA.ABLA","ALE"
1.7116959814245,-0.0607174609261715,"BA.ABLA","ALE"
2.09704609803856,-0.0408801273593757,"BA.ABLA","ALE"
2.43379417608866,0.0536422962613928,"BA.ABLA","ALE"
2.92433568159463,0.0806848441537598,"BA.ABLA","ALE"
3.26439924754676,0.121200958106303,"BA.ABLA","ALE"
3.81959276714246,0.285155715254478,"BA.ABLA","ALE"
4.40869468573626,0.258345048967052,"BA.ABLA","ALE"
4.97413607702915,0.222056187036846,"BA.ABLA","ALE"
5.66247657669075,0.252775112221777,"BA.ABLA","ALE"
6.47635350464312,0.244921020075119,"BA.ABLA","ALE"
7.18149749980822,0.287679182537557,"BA.ABLA","ALE"
8.12626084789329,0.331857051436833,"BA.ABLA","ALE"
8.83848793084911,0.420842360167867,"BA.ABLA","ALE"
9.86176806061424,0.410404316571348,"BA.ABLA","ALE"
10.7781990575364,0.390905946081631,"BA.ABLA","ALE"
11.7052546861447,0.405857156692263,"BA.ABLA","ALE"
13.364430325121,0.454069077385179,"BA.ABLA","ALE"
15.077633346501,0.451681000737374,"BA.ABLA","ALE"
17.2225279631258,0.432160901899466,"BA.ABLA","ALE"
