".metric",".estimator",".estimate",".config"
"accuracy","binary",0.897157457681252,"Preprocessor1_Model1"
"sens","binary",0.991501416430595,"Preprocessor1_Model1"
"spec","binary",0.0293159609120521,"Preprocessor1_Model1"
"roc_auc","binary",0.859746841867289,"Preprocessor1_Model1"
