".metric",".estimator",".estimate",".config"
"sens","binary",0.872446852855356,"Preprocessor1_Model1"
"spec","binary",0.576502732240437,"Preprocessor1_Model1"
"roc_auc","binary",0.876376370391124,"Preprocessor1_Model1"
