".metric",".estimator",".estimate",".config"
"sens","binary",0.763368983957219,"Preprocessor1_Model1"
"spec","binary",0.706666666666667,"Preprocessor1_Model1"
"roc_auc","binary",0.833297682709447,"Preprocessor1_Model1"
