".metric",".estimator",".estimate",".config"
"sens","binary",0.663983199159958,"Preprocessor1_Model1"
"spec","binary",0.868613138686131,"Preprocessor1_Model1"
"roc_auc","binary",0.823778962670761,"Preprocessor1_Model1"
